Level,Scope,Date,Wday,Daily_Count,Daily_Avg_Mins,Daily_Med_Mins
Provincial,Segovia,2026-01-17,sábado,15,22.701766666666668,19.994999999999997
Provincial,Segovia,2026-01-18,domingo,67,13.648278846153847,4.06
Provincial,Sevilla,2026-01-17,sábado,88,20.83793309159976,9.62
Provincial,Sevilla,2026-01-18,domingo,140,24.369013042513043,12.27
Provincial,Soria,2026-01-17,sábado,13,2.923,1.645
Provincial,Soria,2026-01-18,domingo,13,36.98752380952381,43.68
Provincial,Tarragona,2026-01-17,sábado,16,39.77525,38.36
Provincial,Tarragona,2026-01-18,domingo,27,31.485535714285714,34.84
Provincial,Teruel,2026-01-17,sábado,9,19.148055555555555,12.33
Provincial,Teruel,2026-01-18,domingo,26,9.12063492063492,8.64
Provincial,Toledo,2026-01-17,sábado,129,25.14368111946533,21.87
Provincial,Toledo,2026-01-18,domingo,166,20.26016925950141,12.06
Provincial,Valladolid,2026-01-17,sábado,40,19.194223958333332,14.4225
Provincial,Valladolid,2026-01-18,domingo,77,17.28495949074074,4.7275
Provincial,València/Valencia,2026-01-17,sábado,118,24.729336481601187,16.715
Provincial,València/Valencia,2026-01-18,domingo,162,19.465147828127666,10.05
Provincial,Zamora,2026-01-17,sábado,18,22.264375,12.355
Provincial,Zamora,2026-01-18,domingo,29,20.51907142857143,2.2575
Provincial,Zaragoza,2026-01-17,sábado,76,24.791725783475783,17.93
Provincial,Zaragoza,2026-01-18,domingo,63,23.751585914085915,13.275
Provincial,Ávila,2026-01-17,sábado,22,32.423769841269845,2.02
Provincial,Ávila,2026-01-18,domingo,29,16.5046,3.11
