Level,Scope,Timestamp,Count,Avg_Mins,Med_Mins
Provincial,Alacant/Alicante,2026-01-18T16:00:00Z,4,25.659999999999997,22.185
Provincial,Alacant/Alicante,2026-01-18T17:00:00Z,7,6.324285714285715,7.49
Provincial,Albacete,2026-01-17T10:00:00Z,1,23.27,23.27
Provincial,Albacete,2026-01-17T11:00:00Z,3,7.58,5.25
Provincial,Albacete,2026-01-17T12:00:00Z,4,24.8475,29.9
Provincial,Albacete,2026-01-17T19:00:00Z,2,55.650000000000006,55.650000000000006
Provincial,Albacete,2026-01-17T20:00:00Z,10,6.8790000000000004,1.4300000000000002
Provincial,Albacete,2026-01-17T21:00:00Z,5,16.701999999999998,11.87
Provincial,Albacete,2026-01-18T00:00:00Z,2,35.01,35.01
Provincial,Albacete,2026-01-18T01:00:00Z,2,60.095,60.095
Provincial,Albacete,2026-01-18T03:00:00Z,1,28.09,28.09
Provincial,Albacete,2026-01-18T04:00:00Z,2,43.255,43.255
Provincial,Albacete,2026-01-18T05:00:00Z,1,34.14,34.14
Provincial,Albacete,2026-01-18T06:00:00Z,1,44.49,44.49
Provincial,Albacete,2026-01-18T08:00:00Z,1,16.99,16.99
Provincial,Albacete,2026-01-18T09:00:00Z,1,23.83,23.83
Provincial,Albacete,2026-01-18T10:00:00Z,4,24.28,24.605
Provincial,Albacete,2026-01-18T11:00:00Z,8,19.72,8
Provincial,Albacete,2026-01-18T12:00:00Z,18,5.239444444444445,1.75
Provincial,Albacete,2026-01-18T17:00:00Z,2,0.7050000000000001,0.7050000000000001
Provincial,Almería,2026-01-17T11:00:00Z,6,14.726666666666667,9.799999999999999
Provincial,Almería,2026-01-17T12:00:00Z,3,53.486666666666665,51.22
Provincial,Almería,2026-01-17T13:00:00Z,2,4.545,4.545
Provincial,Almería,2026-01-17T19:00:00Z,1,68.61,68.61
Provincial,Almería,2026-01-17T20:00:00Z,13,19.782307692307693,3.64
Provincial,Almería,2026-01-17T21:00:00Z,1,38.66,38.66
Provincial,Almería,2026-01-17T22:00:00Z,8,26.193749999999998,23.915
Provincial,Almería,2026-01-17T23:00:00Z,2,36.5,36.5
Provincial,Almería,2026-01-18T00:00:00Z,2,43.8,43.8
Provincial,Almería,2026-01-18T01:00:00Z,2,24.375,24.375
Provincial,Almería,2026-01-18T02:00:00Z,8,13.19125,2.65
Provincial,Almería,2026-01-18T04:00:00Z,1,29.71,29.71
Provincial,Almería,2026-01-18T05:00:00Z,1,30.12,30.12
Provincial,Almería,2026-01-18T06:00:00Z,2,53.36,53.36
Provincial,Almería,2026-01-18T07:00:00Z,9,12.84,1.99
Provincial,Almería,2026-01-18T08:00:00Z,15,14.079333333333334,1.79
Provincial,Almería,2026-01-18T09:00:00Z,16,8.669375,1.67
Provincial,Almería,2026-01-18T10:00:00Z,16,8.98875,1.3
Provincial,Almería,2026-01-18T11:00:00Z,11,13.224545454545455,1.86
Provincial,Almería,2026-01-18T12:00:00Z,12,8.965833333333334,1.13
Provincial,Almería,2026-01-18T16:00:00Z,1,18.73,18.73
Provincial,Almería,2026-01-18T17:00:00Z,5,6.698,7.63
Provincial,Asturias,2026-01-17T11:00:00Z,11,9.061818181818182,5.99
Provincial,Asturias,2026-01-17T12:00:00Z,5,20.182000000000002,12.97
Provincial,Asturias,2026-01-17T13:00:00Z,4,8.557500000000001,3.0050000000000003
Provincial,Asturias,2026-01-17T19:00:00Z,3,65.38666666666666,65.77
Provincial,Asturias,2026-01-17T20:00:00Z,15,22.098,7.56
Provincial,Asturias,2026-01-17T21:00:00Z,15,26.476666666666667,16.84
Provincial,Asturias,2026-01-17T22:00:00Z,3,27.166666666666664,15.09
Provincial,Asturias,2026-01-17T23:00:00Z,2,51.540000000000006,51.540000000000006
Provincial,Asturias,2026-01-18T00:00:00Z,1,5.11,5.11
Provincial,Asturias,2026-01-18T01:00:00Z,3,17.59,7.92
Provincial,Asturias,2026-01-18T02:00:00Z,2,0.65,0.65
Provincial,Asturias,2026-01-18T03:00:00Z,1,30.19,30.19
Provincial,Asturias,2026-01-18T05:00:00Z,1,39.81,39.81
Provincial,Asturias,2026-01-18T06:00:00Z,1,28.64,28.64
Provincial,Asturias,2026-01-18T07:00:00Z,2,27.65,27.65
Provincial,Asturias,2026-01-18T08:00:00Z,4,20.71,7.8100000000000005
